Index	Sentiment	Buy Price
KR	0.9999	29.97
ETR	0.9998	76.99
CTL	0.9997	25.12
LEN	0.9996	51.79
SPG	0.9994	173.84
EW	0.9991	94.30
IPG	0.999	24.54
AES	0.999	11.36
GILD	0.999	66.51
KIM	0.999	22.34
EBAY	0.9988	34.33
REGN	0.9986	370.37
NEE	0.9985	130.77
DHI	0.9982	33.69
RHT	0.9977	85.93
WHR	0.9974	169.44
PEG	0.9972	45.65
JWN	0.997	46.57
BIIB	0.9957	271.88
WYN	0.9942	87.35
HBI	0.9922	21.26
CMG	0.9906	463.62
ALXN	0.99	118.35
COTY	0.9836	17.89
HPQ	0.9813	18.20
